id,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
16,1,1,1,171,1,1,151.0,1,37,37,9,7,147.5,1,0,0,1,0,0,34,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
17,1,17,1,9238,1,1,122.0,1,37,37,5,6,119.7,1,0,0,1,0,0,18,0,0,6,10,4,11.25,0,0,6,11,3,11.0,0,16.2,0.3,-0.92,Dropout
18,1,39,1,9500,1,1,133.1,1,1,37,4,9,133.0,0,0,0,1,0,0,24,0,0,7,9,6,12.585714285714284,0,0,8,12,7,13.44285714285714,0,16.2,0.3,-0.92,Graduate
19,1,1,3,9500,1,1,138.0,1,37,37,9,9,133.0,1,0,0,1,0,1,19,0,0,8,12,7,12.0,0,0,8,12,7,12.0,0,12.7,3.7,-1.7,Graduate
20,1,39,1,9853,1,1,140.0,1,19,38,9,9,132.1,0,0,0,1,0,0,26,0,0,6,7,0,0.0,0,0,6,12,0,0.0,0,12.7,3.7,-1.7,Dropout
21,1,1,1,9238,1,1,145.0,1,1,37,9,9,135.1,1,0,0,1,0,1,20,0,0,6,7,6,13.333333333333334,0,0,6,12,6,12.5,0,13.9,-0.3,0.79,Graduate
22,1,17,1,9773,1,1,145.0,1,1,1,4,8,134.9,1,0,0,1,0,0,19,0,0,6,6,6,16.0,0,0,6,7,6,14.333333333333334,0,12.4,0.5,1.79,Graduate
23,1,1,2,9500,1,1,137.0,1,19,19,9,7,126.8,1,0,0,1,0,1,18,0,0,7,10,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Graduate
24,1,1,3,9238,1,1,139.0,1,19,37,5,5,131.9,1,0,0,1,0,0,18,0,0,6,8,6,11.77777777777778,0,0,6,8,5,12.25,0,15.5,2.8,-4.06,Graduate
25,1,7,1,8014,0,40,110.0,1,37,37,9,9,110.0,0,0,0,1,0,0,28,0,14,15,16,15,10.923076923076923,0,9,13,13,13,11.615384615384617,0,11.1,0.6,2.02,Graduate
26,1,39,1,9773,1,1,130.0,1,1,19,9,9,134.5,0,0,1,1,0,1,24,0,0,6,6,6,13.833333333333334,0,0,6,7,6,12.333333333333334,0,16.2,0.3,-0.92,Graduate
27,1,17,1,9500,1,1,145.0,1,19,1,4,4,141.8,1,0,0,1,0,1,19,0,0,8,8,8,13.3475,0,0,8,8,8,13.3475,0,9.4,-0.8,-3.12,Graduate
28,1,17,3,9853,1,1,132.0,1,1,1,4,4,120.8,1,0,0,1,0,0,18,0,0,6,8,5,12.4,0,0,6,7,5,11.8,0,10.8,1.4,1.74,Dropout
29,2,39,1,9254,1,19,133.1,1,37,37,9,4,170.0,0,0,1,0,0,0,53,0,0,6,6,6,14.166666666666666,0,0,6,7,6,13.0,0,15.5,2.8,-4.06,Graduate
30,1,44,1,9085,1,39,140.0,1,37,37,9,9,140.0,0,0,0,1,0,0,20,0,0,5,12,3,13.0,2,0,5,12,3,12.0,1,9.4,-0.8,-3.12,Enrolled
31,1,39,1,9119,1,1,114.0,1,37,37,9,9,107.7,0,0,0,1,1,0,26,0,0,5,12,1,10.0,0,0,5,11,2,13.0,4,7.6,2.6,0.32,Enrolled
32,2,1,4,9500,1,1,140.0,1,37,37,9,4,127.3,0,0,0,1,1,0,26,0,0,8,8,7,13.075714285714286,0,0,8,8,7,13.075714285714286,0,10.8,1.4,1.74,Graduate
33,1,39,1,9991,0,1,140.0,1,37,37,9,9,154.0,0,0,0,1,0,0,29,0,0,5,14,2,10.5,0,0,5,9,0,0.0,0,16.2,0.3,-0.92,Dropout
34,1,1,3,9500,1,1,129.0,1,37,19,9,9,127.3,1,0,0,1,0,1,20,0,0,7,7,6,12.633333333333333,0,0,7,7,6,12.633333333333333,0,7.6,2.6,0.32,Graduate
35,1,18,1,9254,1,1,128.0,1,19,1,7,8,116.5,1,0,0,1,0,1,19,0,0,6,7,5,11.0,0,0,6,6,5,12.8,0,12.4,0.5,1.79,Dropout
36,1,39,1,9238,1,19,133.1,1,19,37,9,9,102.5,0,0,1,0,0,1,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
37,1,17,1,9130,1,1,125.0,1,38,37,9,7,132.4,1,0,0,1,1,1,20,0,0,5,7,5,11.8,0,0,5,5,5,13.2,0,10.8,1.4,1.74,Graduate
38,2,39,1,9853,1,12,133.1,1,37,37,9,4,145.3,0,0,0,1,0,0,33,0,0,6,9,4,12.25,0,0,6,10,5,11.0,0,7.6,2.6,0.32,Enrolled
39,1,39,1,9670,1,1,110.0,1,34,34,0,0,114.6,1,0,0,1,1,0,25,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
40,1,1,1,9238,1,1,130.0,1,1,38,4,8,118.8,0,0,0,1,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
41,1,15,1,9119,1,1,150.0,26,3,1,4,4,150.0,1,0,1,1,1,0,26,1,0,5,11,3,11.0,0,0,5,9,4,11.25,0,12.4,0.5,1.79,Dropout
42,1,44,1,9085,1,39,140.0,1,19,37,9,7,140.0,0,0,0,1,0,0,21,0,2,6,6,6,13.833333333333334,0,1,6,9,4,12.6,0,16.2,0.3,-0.92,Enrolled
43,1,1,5,9500,1,1,143.0,1,37,37,4,9,123.3,1,0,0,1,0,0,18,0,0,7,0,0,0.0,0,0,7,0,0,0.0,0,7.6,2.6,0.32,Dropout
44,1,1,1,9147,1,1,131.0,1,19,19,7,9,132.4,1,0,0,1,0,1,19,0,0,5,8,5,10.8,0,0,5,6,3,11.333333333333334,0,9.4,-0.8,-3.12,Graduate
45,1,39,1,9254,1,19,133.1,1,1,37,4,6,101.5,0,0,0,1,0,0,27,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout
46,1,1,1,9773,1,1,117.0,1,1,1,5,5,110.7,1,0,1,0,0,0,18,0,0,6,6,5,11.833333333333334,0,0,6,8,4,12.25,0,15.5,2.8,-4.06,Dropout
47,1,1,1,171,1,1,150.0,1,1,1,4,10,134.6,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
48,1,7,1,9500,1,3,140.0,1,19,19,9,9,140.0,0,0,0,1,0,0,27,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout
49,2,39,1,9556,1,1,130.0,1,38,37,7,7,120.0,0,0,0,0,0,0,26,0,0,7,7,1,10.0,0,0,7,8,0,0.0,0,15.5,2.8,-4.06,Dropout
50,1,16,3,9773,1,1,137.0,1,19,19,9,7,139.8,1,0,0,1,0,0,20,0,0,6,9,6,12.571428571428571,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate
51,1,17,1,9238,1,1,161.0,1,37,37,5,6,152.3,1,0,0,1,0,1,18,0,0,6,8,6,13.714285714285714,0,0,6,7,6,14.0,0,12.4,0.5,1.79,Graduate
52,1,39,1,9991,0,1,120.0,1,19,1,9,5,134.0,0,0,0,0,0,0,26,0,0,5,12,2,11.666666666666666,0,0,5,10,1,10.0,4,16.2,0.3,-0.92,Dropout
53,1,17,1,171,1,1,121.0,1,19,19,7,7,114.8,0,0,0,0,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
54,1,39,1,9085,1,1,130.0,1,1,1,4,8,144.0,0,0,0,1,1,0,26,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
55,1,17,5,9119,1,1,122.0,1,1,19,3,8,116.9,1,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Enrolled
56,1,18,6,9500,1,1,141.0,1,37,37,5,5,126.8,1,0,0,1,0,0,18,0,0,8,8,8,12.93375,0,0,8,8,8,12.93375,0,9.4,-0.8,-3.12,Graduate
57,1,1,1,9238,1,1,147.0,1,1,19,4,7,135.6,0,0,0,1,0,0,18,0,0,6,7,6,13.857142857142858,0,0,6,7,6,12.714285714285714,0,13.9,-0.3,0.79,Graduate
58,1,39,1,9085,1,12,133.1,1,1,1,90,90,128.2,0,0,0,1,0,0,34,0,0,6,8,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
59,1,1,4,9773,1,1,134.0,1,37,19,9,8,120.4,1,0,0,1,0,1,18,0,0,6,7,6,12.571428571428571,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate
60,1,39,1,9670,1,1,133.1,1,37,37,9,9,100.0,0,0,0,1,1,0,32,0,0,6,11,5,11.8,0,0,6,11,4,12.0,0,16.2,0.3,-0.92,Enrolled
61,1,17,2,9853,1,1,134.0,1,38,38,9,5,121.1,1,0,0,1,0,0,20,0,0,6,8,5,12.0,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
62,2,39,1,9003,1,19,133.1,1,37,37,9,9,140.0,0,0,1,0,1,0,41,0,0,6,10,3,11.0,0,0,6,10,3,11.0,0,12.4,0.5,1.79,Dropout
63,1,39,1,9085,1,2,140.0,1,37,37,90,90,130.0,0,0,0,1,0,0,25,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
64,1,1,3,9853,1,1,113.0,1,38,38,9,9,107.4,1,0,0,1,0,0,20,0,0,6,10,5,12.6,0,0,6,9,3,11.0,0,12.7,3.7,-1.7,Enrolled
65,1,1,1,9119,1,1,160.0,1,1,1,4,7,152.0,1,0,0,1,1,0,19,0,0,5,8,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
66,4,39,1,9500,1,19,133.1,1,37,37,9,7,136.1,0,0,0,1,0,1,32,0,0,7,7,0,0.0,0,0,8,9,0,0.0,0,13.9,-0.3,0.79,Dropout
67,4,39,1,8014,0,1,120.0,1,37,37,9,9,117.0,0,0,0,1,0,1,35,0,0,6,8,6,11.333333333333334,0,0,6,9,6,11.833333333333334,0,15.5,2.8,-4.06,Graduate
68,1,44,1,9003,1,39,160.0,1,19,38,9,6,160.0,0,0,1,0,1,0,23,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
69,2,39,1,9853,1,1,100.0,1,3,3,4,2,140.0,0,0,0,1,0,0,30,0,0,7,12,5,12.16,0,0,7,10,7,11.428571428571429,0,12.4,0.5,1.79,Enrolled
70,1,1,1,9670,1,1,128.0,1,19,37,5,7,124.5,0,0,0,1,1,1,20,0,0,5,7,5,14.166666666666666,0,0,5,7,5,13.6,0,9.4,-0.8,-3.12,Graduate
71,1,53,1,9003,1,42,140.0,1,38,38,191,141,140.0,0,0,1,1,1,0,21,0,1,7,14,7,12.545454545454543,0,3,9,11,4,12.666666666666666,0,8.9,1.4,3.51,Enrolled
72,1,43,1,9254,1,1,140.0,1,19,1,4,3,140.0,1,0,0,1,1,0,23,0,0,6,13,4,12.0,0,0,6,13,3,11.333333333333334,0,9.4,-0.8,-3.12,Dropout
73,1,1,3,9773,1,1,131.0,1,1,38,4,0,118.8,1,0,0,1,1,0,18,0,0,6,6,6,12.166666666666666,0,0,6,7,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
74,1,17,2,9773,1,1,150.0,1,38,37,9,9,129.2,1,0,0,1,0,1,18,0,0,6,7,6,14.428571428571429,0,0,6,6,6,14.5,0,7.6,2.6,0.32,Graduate
75,1,1,1,9119,1,1,136.0,1,1,1,4,5,120.4,1,0,0,1,1,0,18,0,0,5,6,5,13.2,0,0,5,5,4,14.75,0,7.6,2.6,0.32,Graduate
76,1,44,1,171,1,39,160.0,1,37,37,9,7,160.0,0,0,1,1,0,0,30,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
77,2,1,2,9500,1,1,168.0,1,1,1,4,3,166.0,0,0,0,1,0,1,19,0,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
78,1,17,1,9147,1,1,108.0,1,37,37,5,5,107.7,1,0,0,1,1,0,20,0,0,5,11,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
79,1,17,2,9254,1,1,130.0,1,19,37,7,7,119.5,0,0,0,0,1,0,20,0,0,6,15,2,11.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
80,1,44,1,9238,1,39,130.0,1,3,1,4,5,131.8,1,0,0,1,0,0,19,0,3,6,7,6,11.571428571428571,0,2,6,7,5,12.8,0,12.4,0.5,1.79,Graduate
81,1,1,1,9238,1,1,126.0,1,1,1,4,8,116.1,0,0,0,1,0,0,19,0,0,6,7,6,14.714285714285714,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate
82,1,1,1,9147,1,1,132.0,1,19,19,4,7,127.5,1,0,0,1,1,1,20,0,0,5,5,5,14.0,0,0,5,5,5,13.8,0,12.4,0.5,1.79,Graduate
83,1,44,1,9085,1,39,140.0,1,1,1,4,4,140.0,1,0,0,1,0,0,20,0,2,6,9,6,12.0,0,1,6,11,3,12.0,0,13.9,-0.3,0.79,Graduate
84,1,1,2,9254,1,1,124.0,1,37,37,9,9,121.1,1,0,0,1,0,0,20,0,0,6,7,6,12.333333333333334,0,0,6,9,5,11.0,0,7.6,2.6,0.32,Enrolled
85,2,39,1,9670,1,1,140.0,1,34,34,0,0,107.0,1,0,0,1,0,0,25,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,7.6,2.6,0.32,Dropout
86,1,1,3,9500,1,1,128.0,1,1,3,4,2,120.5,1,0,0,1,0,0,19,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate
87,2,39,1,9238,1,1,160.0,1,37,37,9,6,110.0,0,0,0,1,0,1,41,0,0,6,8,6,15.0,0,0,6,7,6,14.0,0,15.5,2.8,-4.06,Graduate
88,1,39,1,9147,1,1,130.0,1,3,37,3,3,120.0,0,0,1,1,1,0,31,0,0,5,9,2,10.0,0,0,5,8,2,11.333333333333334,2,16.2,0.3,-0.92,Dropout
89,1,1,1,9500,1,1,140.0,1,19,1,3,8,127.3,0,0,0,1,0,0,21,0,0,7,11,7,11.971428571428572,0,0,8,11,7,11.971428571428572,0,12.7,3.7,-1.7,Enrolled
90,1,17,1,9070,1,1,120.0,1,1,19,4,5,113.0,1,0,0,1,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
91,1,1,1,9085,1,1,133.1,1,19,19,9,9,143.2,1,0,0,1,0,0,21,0,0,5,5,5,13.8,0,0,5,5,5,12.6,0,10.8,1.4,1.74,Graduate
92,1,1,1,9238,1,1,133.1,1,19,19,9,7,101.0,0,0,0,1,0,0,18,0,0,6,7,5,11.6,0,0,6,8,4,11.0,0,15.5,2.8,-4.06,Enrolled
93,1,51,1,8014,0,1,160.0,1,38,19,6,4,150.0,0,0,1,1,0,0,21,0,7,14,19,9,13.555555555555555,0,6,11,12,8,13.625,0,11.1,0.6,2.02,Enrolled
94,1,44,1,9003,1,39,140.0,1,38,37,5,6,140.7,1,0,0,1,0,1,20,0,0,6,7,5,13.4,0,0,6,9,5,12.857142857142858,0,16.2,0.3,-0.92,Graduate
95,1,17,1,9670,1,3,120.0,1,1,1,9,6,120.0,0,0,0,1,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
96,1,18,1,9085,1,1,133.1,1,19,37,9,9,115.0,1,0,0,1,0,0,21,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
97,1,1,1,9500,1,1,151.0,1,1,1,4,7,132.3,0,0,0,1,1,0,19,0,0,8,9,7,12.828571428571427,0,0,8,9,7,12.828571428571427,0,12.7,3.7,-1.7,Graduate
98,1,44,1,9238,1,39,130.0,1,3,3,3,6,130.0,1,0,0,1,0,0,21,0,3,6,7,6,13.0,0,2,6,7,6,13.266666666666666,0,11.1,0.6,2.02,Graduate
99,2,39,1,9147,1,1,133.1,1,37,37,9,9,120.0,0,0,0,1,0,0,32,0,0,5,8,3,11.0,0,0,5,9,3,12.333333333333334,0,9.4,-0.8,-3.12,Enrolled
100,1,17,1,9003,1,1,137.0,1,19,37,9,7,127.8,0,0,0,1,1,1,18,0,0,6,8,6,13.5,0,0,6,10,4,14.8,0,8.9,1.4,3.51,Graduate
101,1,44,1,9003,1,39,130.0,1,1,19,4,7,130.0,1,0,0,1,1,0,23,0,0,6,8,3,11.0,0,0,6,15,0,0.0,0,15.5,2.8,-4.06,Dropout
102,1,17,4,9500,1,1,155.0,1,37,37,9,9,127.3,1,0,0,1,0,0,18,0,0,7,7,6,13.966666666666669,1,0,7,7,6,13.966666666666669,1,7.6,2.6,0.32,Graduate
103,2,39,1,9119,1,1,133.1,1,37,37,9,8,123.0,0,0,0,1,1,0,32,0,0,5,6,3,13.333333333333334,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
104,1,1,1,171,1,1,140.0,1,37,38,9,9,137.9,1,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
105,1,39,1,9500,1,1,140.0,1,19,39,3,3,120.0,1,0,0,1,0,1,24,0,0,8,12,7,12.714285714285714,0,0,8,12,7,12.714285714285714,0,12.7,3.7,-1.7,Graduate
106,1,1,1,9085,1,1,118.0,1,1,19,9,10,110.0,1,0,1,1,0,0,19,0,0,6,13,3,11.666666666666666,0,0,6,12,3,11.0,0,12.4,0.5,1.79,Enrolled
107,1,1,1,171,1,1,130.0,1,1,1,9,10,118.1,1,0,1,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
108,1,1,1,9238,1,1,120.0,1,1,37,4,9,112.6,0,0,0,1,0,0,20,0,0,6,9,5,12.5,0,0,6,7,6,13.285714285714286,0,11.1,0.6,2.02,Graduate
109,1,1,1,9238,1,1,140.0,1,38,38,9,6,140.7,1,0,0,1,0,0,18,0,0,6,7,6,11.666666666666666,0,0,6,9,6,11.333333333333334,0,7.6,2.6,0.32,Graduate
110,1,1,2,9238,1,1,138.0,1,1,1,4,4,133.0,1,0,0,1,0,0,18,0,0,6,7,6,12.857142857142858,0,0,6,8,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
111,1,1,2,9500,1,1,149.0,1,1,37,4,9,129.8,1,0,0,1,0,0,19,0,0,7,7,6,13.05,0,0,7,7,6,13.05,0,9.4,-0.8,-3.12,Graduate
112,1,1,1,9254,1,1,160.0,1,1,38,9,9,152.0,0,0,0,1,1,0,19,0,0,6,7,6,13.0,0,0,6,6,6,12.5,0,13.9,-0.3,0.79,Graduate
113,1,17,4,9500,1,1,128.0,1,38,37,5,7,124.7,1,0,0,1,0,0,18,0,0,7,11,7,12.9,0,0,8,15,7,12.142857142857142,0,15.5,2.8,-4.06,Enrolled
114,1,17,4,9238,1,1,125.0,1,1,19,4,5,122.6,1,0,0,1,0,0,18,0,0,6,11,5,12.0,0,0,6,11,4,11.0,0,11.1,0.6,2.02,Enrolled
115,1,1,1,9147,1,1,132.0,1,37,38,9,9,131.0,0,0,0,1,0,0,18,0,0,5,8,4,11.0,0,0,5,6,4,11.25,0,7.6,2.6,0.32,Graduate
116,1,44,1,9119,1,1,150.0,1,3,19,3,6,150.0,0,0,0,1,0,0,20,0,3,6,9,6,12.375,0,2,6,8,6,13.142857142857142,0,12.4,0.5,1.79,Enrolled
117,1,1,1,9070,1,1,156.0,1,2,37,9,9,165.8,0,0,0,1,0,1,18,0,0,6,6,6,14.333333333333334,0,0,6,6,6,15.833333333333334,0,9.4,-0.8,-3.12,Graduate
118,1,39,1,9085,1,1,133.1,1,3,3,2,2,100.0,1,0,0,1,0,0,25,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
119,2,43,1,8014,0,1,133.1,1,37,37,9,9,131.5,0,0,0,1,0,0,43,0,9,11,12,9,12.0,0,7,11,11,10,12.2727272727272,0,10.8,1.4,1.74,Graduate
120,1,1,1,9500,1,1,136.0,1,38,38,9,9,123.8,1,0,0,1,0,1,19,0,0,8,8,7,13.937142857142858,0,0,8,8,7,13.937142857142858,0,10.8,1.4,1.74,Graduate
121,1,17,1,9085,1,1,128.0,1,3,19,2,3,123.4,1,0,0,1,0,0,18,0,0,6,7,6,15.666666666666666,0,0,6,7,6,15.285714285714286,0,11.1,0.6,2.02,Graduate
122,1,53,1,9085,1,42,150.0,1,1,3,4,6,146.2,1,0,0,1,1,1,22,0,7,11,15,9,14.727272727272728,0,4,9,19,11,14.142857142857142,0,8.9,1.4,3.51,Graduate
123,1,17,2,9238,1,1,131.0,1,37,37,5,5,124.8,1,0,0,1,0,0,18,0,0,6,11,5,12.142857142857142,0,0,6,10,4,10.75,3,16.2,0.3,-0.92,Graduate
124,1,17,1,9254,1,1,120.0,1,38,19,5,7,124.2,0,0,0,1,0,0,18,0,0,6,12,4,10.8,0,0,6,9,3,12.0,0,15.5,2.8,-4.06,Enrolled
125,1,16,6,9147,1,1,131.0,1,37,37,9,9,123.7,1,0,0,1,0,0,18,0,0,5,8,4,12.0,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Graduate
126,1,1,1,9070,1,1,116.0,1,12,19,9,7,110.8,1,0,0,1,0,0,18,0,0,6,6,6,11.833333333333334,0,0,6,10,0,0.0,0,11.1,0.6,2.02,Graduate
127,1,1,1,9254,1,1,121.0,1,37,37,9,9,127.2,1,0,0,1,0,0,19,0,0,6,12,2,13.0,0,0,6,12,1,10.0,0,9.4,-0.8,-3.12,Dropout
128,1,44,1,9003,1,39,120.0,1,37,38,9,6,120.0,1,0,0,1,0,0,20,0,0,6,8,6,12.333333333333334,0,0,6,9,6,13.666666666666666,0,16.2,0.3,-0.92,Graduate
129,1,44,1,9003,1,39,140.0,1,1,19,4,7,140.0,0,0,0,1,1,0,20,0,0,6,8,5,13.142857142857142,0,0,6,10,6,13.0,0,16.2,0.3,-0.92,Graduate
130,1,17,1,9254,1,1,113.0,1,3,19,3,7,107.8,1,0,0,1,1,0,20,0,0,6,10,4,10.5,0,0,6,11,4,10.5,0,12.4,0.5,1.79,Enrolled
131,1,1,6,9500,1,1,115.0,1,1,19,4,7,106.5,1,0,0,1,0,1,19,0,0,8,8,7,12.401428571428571,0,0,8,8,7,12.401428571428571,0,12.7,3.7,-1.7,Graduate
132,1,43,2,9670,1,1,129.0,1,3,37,9,9,122.4,1,0,0,1,0,0,19,0,0,5,5,5,12.4,0,0,6,9,5,10.4,0,12.7,3.7,-1.7,Enrolled
133,1,1,3,9238,1,1,135.0,1,1,1,4,7,126.1,1,0,0,1,0,0,19,0,0,6,6,6,11.666666666666666,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,Graduate
134,1,18,1,9773,1,1,120.0,1,19,37,5,3,111.1,0,0,0,1,0,0,18,0,0,6,8,6,12.0,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Graduate
135,1,43,1,9147,1,1,143.0,1,37,37,9,9,130.6,0,0,0,1,1,0,23,0,6,10,10,10,12.5,0,4,10,16,10,11.6,1,9.4,-0.8,-3.12,Graduate
